Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Porzuć klucze,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Tego zamka nie da się otworzyć wytrychem.,
JWK-Action-CleanUp,Clean up,Posprzątaj,
JWK-Action-CollectDogtag,Collect dogtag,Podnieś nieśmiertelnik,
JWK-Action-Disassembly,Disassemble,Zdemontuj,
JWK-Action-DismantleCamp,Dismantle camp,Zdemontuj obóz,
JWK-Action-EditSign,Edit sign,Edytuj znak,
JWK-Action-EpinephrineInject,Inject epinephrine,Podaj Epinefrynę,
JWK-Action-FollowMe,Ask to follow,"Poproś, by podążał",
JWK-Action-GetInWanted,Get in (wanted),Wsiądź (poszukiwany),
JWK-Action-GetInWantedSuffix,(wanted),(poszukiwany),
JWK-Action-ImportResources,Import resources,Sprowadź zasoby,
JWK-Action-ImportVehicles,Import vehicles,Sprowadź pojazdy,
JWK-Action-Lock,Lock,Zamknij,
JWK-Action-LockVehicle,Lock vehicle,Zamknij Pojazd,
JWK-Action-Locked,Locked,Zamknięte,
JWK-Action-ManagePlayerGarage,Manage garage,Zarządzaj garażem,
JWK-Action-PickLock,Pick lock,Otwórz zamek wytrychem,
JWK-Action-PickUp,Pick up,Podnieś,
JWK-Action-PlayerRest,Rest,Odpocznij,
JWK-Action-Recruit,Recruit,Zwerbuj,
JWK-Action-RequiresLockpick,Requires lockpick.,Wymaga wytrychu.,
JWK-Action-Shop,Shop,Sklep,
JWK-Action-StayHere,Ask to stay,"Poproś, by się zatrzymał",
JWK-Action-StopCharacter,Stop,Zatrzymaj,
JWK-Action-TakeBus,Take bus,Wsiądź do autobusu,
JWK-Action-TakeCommand,Take command,Przejmij dowodzenie,
JWK-Action-TakeFerry,Take ferry,Skorzystaj z promu,
JWK-Action-TakeKeys,Take keys,Weź klucze,
JWK-Action-Talk,Talk,Porozmawiaj,
JWK-Action-Trade,Trade,Handluj,
JWK-Action-TransferFuel,Transfer fuel,Transfer paliwa,
JWK-Action-Unlock,Unlock,Otwórz,
JWK-Action-UnlockVehicle,Unlock vehicle,Otwórz pojazd,
JWK-Action-UsePhone,Use phone,Użyj telefonu,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,Najpierw trzeba rozmontować inne konstrukcje.,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Niewystarczająca ilość pieniędzy.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Osiągnięto limit dowodzenia.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Usuń pobliskie ciała,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Usuń pobliskie przedmioty,
JWK-AdminUI-ForceSaveGame,Force save game,Wymuś zapis gry,
