Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Recoger placa de identificación,
JWK-Action-Disassembly,Disassemble,Desmontar,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,Editar cartel,
JWK-Action-EpinephrineInject,Inject epinephrine,Inyectar epinefrina,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,Bloquear,
JWK-Action-LockVehicle,Lock vehicle,Bloquear vehículo,
JWK-Action-Locked,Locked,Bloqueado,
JWK-Action-ManagePlayerGarage,Manage garage,Gestionar el garaje,
JWK-Action-PickLock,Pick lock,Forzar cerradura,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,Descansar,
JWK-Action-Recruit,Recruit,Reclutar,
JWK-Action-RequiresLockpick,Requires lockpick.,Necesita ganzúa,
JWK-Action-Shop,Shop,Comprar,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,Parar,
JWK-Action-TakeBus,Take bus,Subir al autobús,
JWK-Action-TakeCommand,Take command,Asumir el mando,
JWK-Action-TakeFerry,Take ferry,Subir al ferry,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,Hablar,
JWK-Action-Trade,Trade,Comerciar,
JWK-Action-TransferFuel,Transfer fuel,,
JWK-Action-Unlock,Unlock,Desbloquear,
JWK-Action-UnlockVehicle,Unlock vehicle,Desbloquear vehículo,
JWK-Action-UsePhone,Use phone,Usar teléfono,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,No hay suficiente dinero.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Límite de mando alcanzado.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Eliminar los cuerpos cercanos,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Eliminar objetos cercanos,
JWK-AdminUI-ForceSaveGame,Force save game,Forzar guardado,
