Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,收集军牌,
JWK-Action-Disassembly,Disassemble,拆解,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,编辑标志,
JWK-Action-EpinephrineInject,Inject epinephrine,注射肾上腺素,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,上锁,
JWK-Action-LockVehicle,Lock vehicle,锁定载具,
JWK-Action-Locked,Locked,已锁定,
JWK-Action-ManagePlayerGarage,Manage garage,管理车库,
JWK-Action-PickLock,Pick lock,开锁,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,休息,
JWK-Action-Recruit,Recruit,招募,
JWK-Action-RequiresLockpick,Requires lockpick.,需要开锁工具,
JWK-Action-Shop,Shop,商店,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,停止,
JWK-Action-TakeBus,Take bus,乘坐公交,
JWK-Action-TakeCommand,Take command,指挥,
JWK-Action-TakeFerry,Take ferry,乘坐渡轮,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,交谈,
JWK-Action-Trade,Trade,交易,
JWK-Action-TransferFuel,Transfer fuel,,
JWK-Action-Unlock,Unlock,解锁,
JWK-Action-UnlockVehicle,Unlock vehicle,解锁载具,
JWK-Action-UsePhone,Use phone,使用电话,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,金钱不足,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,指挥限制已达,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,清理附近尸体,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,清理附近物品,
JWK-AdminUI-ForceSaveGame,Force save game,强制保存游戏,
JWK-AdminUI-OpenSettings,Open settings,打开设置,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),重置破坏状态（全局）,
