Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Бросить ключи,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Этот замок невозможно взломать,
JWK-Action-CleanUp,Clean up,Прибраться,
JWK-Action-CollectDogtag,Collect dogtag,Собрать жетон,
JWK-Action-Disassembly,Disassemble,Разобрать,
JWK-Action-DismantleCamp,Dismantle camp,Разобрать лагерь,
JWK-Action-EditSign,Edit sign,Редактировать знак,
JWK-Action-EpinephrineInject,Inject epinephrine,Ввести эпинефрин,
JWK-Action-FollowMe,Ask to follow,Попросить следовать,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,Заблокировать,
JWK-Action-LockVehicle,Lock vehicle,Заблокировать транспорт,
JWK-Action-Locked,Locked,Заблокировано,
JWK-Action-ManagePlayerGarage,Manage garage,Управлять гаражом,
JWK-Action-PickLock,Pick lock,Взломать замок,
JWK-Action-PickUp,Pick up,Поднять,
JWK-Action-PlayerRest,Rest,Отдохнуть,
JWK-Action-Recruit,Recruit,Вербовать,
JWK-Action-RequiresLockpick,Requires lockpick.,Требуется отмычка,
JWK-Action-Shop,Shop,Магазин,
JWK-Action-StayHere,Ask to stay,Попросить остановиться,
JWK-Action-StopCharacter,Stop,Остановить,
JWK-Action-TakeBus,Take bus,Сесть на автобус,
JWK-Action-TakeCommand,Take command,Принять командование,
JWK-Action-TakeFerry,Take ferry,Сесть на паром,
JWK-Action-TakeKeys,Take keys,Взять ключи,
JWK-Action-Talk,Talk,Поговорить,
JWK-Action-Trade,Trade,Торговать,
JWK-Action-TransferFuel,Transfer fuel,Перелить топливо,
JWK-Action-Unlock,Unlock,Разблокировать,
JWK-Action-UnlockVehicle,Unlock vehicle,Разблокировать транспорт,
JWK-Action-UsePhone,Use phone,Позвонить,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,Сначала необходимо разобрать предыдущие конструкции,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Не хватает денег.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Достигнут лимит подчиненных.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Очистить близлежащие тела,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Очистить близлежащие предметы,
JWK-AdminUI-ForceSaveGame,Force save game,Принудительно сохранить игру,
JWK-AdminUI-OpenSettings,Open settings,Открыть настройки,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Откатить разрушения (глобально),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Откатить разрушения (ближайшие),
JWK-AdminUI-Title,Admin menu,Меню администратора,
JWK-AdminUI-WipeSaveData,Wipe save data,Стереть данные сохранения,
JWK-Arland-Airport,Airport,Аэропорт,
JWK-Arland-NewfieldFarm,Newfield Farm,Ферма Newfield,
JWK-BankUI-Amount,Amount,Сумма,
JWK-BankUI-MoneyTransfer,Money transfer,Денежный перевод,
JWK-BankUI-Perform,Perform,Выполнить,
JWK-BankUI-Recipient,Receiver,Получатель,
JWK-BankUI-YourMoney,Your money,Ваши деньги,
JWK-BattleFallbackTitle,Battle,Битва,
JWK-BattlePlayerLosing,Resistance is losing control...,Сопротивление теряет контроль...,
JWK-BattleProgress,Battle in progress...,Битва в процессе...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.","Обнаружены данные сохранения, несовместимые с этой версией мода. Пожалуйста, начните новую кампанию или откатите обновление для продолжения игры.<br/><br/>Используйте опцию ""<b>Перезапуск</b>"" в меню паузы или ""<b>Стереть данные сохранения</b>"" в меню администратора для перезапуска.",
JWK-BuildItem-ArmoryFOB,Field armory,Полевой арсенал,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Купить оружие и боеприпасы.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,"Дает доступ к оружию и боеприпасам, принадлежащим сопротивлению. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-ArmoryMOB,Allied armory,Арсенал союзников,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Купить оружие и боеприпасы.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,"Дает доступ к оружию и боеприпасам, предоставляемым союзной фракцией. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-Bunker,Bunker,Бункер,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Уютное место для ваших дозорных.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Разместите в хорошем месте для наблюдения.,
JWK-BuildItem-CommandPost,Command post,Командный пункт,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Иметь офицера на месте.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Содержать офицера сопротивления на базе,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Магазин оборудования,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Купить одежду и снаряжение.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,"Дает доступ к униформе и другому снаряжению, принадлежащему сопротивлению. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Магазин оборудования,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Покупать одежду и снаряжение.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,"Дает доступ к униформе и другому снаряжению, предоставляемому союзной фракцией. Предметы приобретаются с помощью припасов.",
JWK-BuildItem-FieldFuelStorage,Field fuel storage,Склад ГСМ,
JWK-BuildItem-FieldFuelStorage_Description,Store a large amount of fuel.,Хранит большое количество топлива,
