Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Залишити ключі,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Цей замок не можна зламати.,
JWK-Action-CleanUp,Clean up,Прибрати,
JWK-Action-CollectDogtag,Collect dogtag,Забрати жетон,
JWK-Action-Disassembly,Disassemble,Розібрати,
JWK-Action-DismantleCamp,Dismantle camp,Згорнути табір,
JWK-Action-EditSign,Edit sign,Редагувати знак,
JWK-Action-EpinephrineInject,Inject epinephrine,Ввести епінефрин,
JWK-Action-FollowMe,Ask to follow,Попросити слідувати,
JWK-Action-GetInWanted,Get in (wanted),Заходьте (бажано),
JWK-Action-GetInWantedSuffix,(wanted),(розшукується),
JWK-Action-ImportResources,Import resources,Імпорт ресурсів,
JWK-Action-ImportVehicles,Import vehicles,Імпорт автомобілів,
JWK-Action-Lock,Lock,Замкнути,
JWK-Action-LockVehicle,Lock vehicle,Замкнути техніку,
JWK-Action-Locked,Locked,Замкнено,
JWK-Action-ManagePlayerGarage,Manage garage,Керувати гаражем,
JWK-Action-PickLock,Pick lock,Відкрити відмичкою,
JWK-Action-PickUp,Pick up,Підняти,
JWK-Action-PlayerRest,Rest,Відпочити,
JWK-Action-Recruit,Recruit,Завербувати,
JWK-Action-RequiresLockpick,Requires lockpick.,Потрібна відмичка.,
JWK-Action-Shop,Shop,Магазин,
JWK-Action-StayHere,Ask to stay,Попросити залишитися,
JWK-Action-StopCharacter,Stop,Зупинити,
JWK-Action-TakeBus,Take bus,Сісти в автобус,
JWK-Action-TakeCommand,Take command,Командувати,
JWK-Action-TakeFerry,Take ferry,Сісти на пором,
JWK-Action-TakeKeys,Take keys,Взяти ключі,
JWK-Action-Talk,Talk,Говорити,
JWK-Action-Trade,Trade,Торгувати,
JWK-Action-TransferFuel,Transfer fuel,Перелити пальне,
JWK-Action-Unlock,Unlock,Відімкнути,
JWK-Action-UnlockVehicle,Unlock vehicle,Відімкнути техніку,
JWK-Action-UsePhone,Use phone,Скористатись телефоном,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,Спершу потрібно розібрати інші конструкції.,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Недостатньо грошей.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Забагато підлеглих.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Прибрати тіла поблизу,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Прибрати предмети поблизу,
JWK-AdminUI-ForceSaveGame,Force save game,Примусово зберегти гру,
JWK-AdminUI-OpenSettings,Open settings,Відкрити налаштування,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Скинути руйнування (глобально),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Скинути руйнування (поблизу),
JWK-AdminUI-Title,Admin menu,Меню адміністратора,
JWK-AdminUI-WipeSaveData,Wipe save data,Очистити збереження,
JWK-Arland-Airport,Airport,Аеропорт,
JWK-Arland-NewfieldFarm,Newfield Farm,Ферма Ньюфілд,
JWK-BankUI-Amount,Amount,Сума,
JWK-BankUI-MoneyTransfer,Money transfer,Переказ коштів,
JWK-BankUI-Perform,Perform,Виконати,
JWK-BankUI-Recipient,Receiver,Отримувач,
JWK-BankUI-YourMoney,Your money,Ваші кошти,
JWK-BattleFallbackTitle,Battle,Битва,
JWK-BattlePlayerLosing,Resistance is losing control...,Опір втрачає контроль...,
JWK-BattleProgress,Battle in progress...,Битва в розпалі...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.","Виявлено дані збереження гри, несумісні з цією версією модифікації. Будь ласка, почніть нову кампанію або відкотіть оновлення, щоб продовжити гру.<br/><br/>Використовуйте опцію ""<b>Перезапустити</b>"" (Restart) у меню паузи або ""<b>Стерти дані збереження</b>"" (Wipe save data) в меню адміністратора для перезапуску.",
JWK-BuildItem-ArmoryFOB,Field armory,Польовий арсенал,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Купівля зброї та боєприпасів.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Надає доступ до зброї та боєприпасів опору. Предмети купуються за припаси.,
JWK-BuildItem-ArmoryMOB,Allied armory,Союзницький арсенал,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Купівля зброї та боєприпасів.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Надає доступ до зброї та боєприпасів союзної фракції. Предмети купуються за припаси.,
JWK-BuildItem-Bunker,Bunker,Бункер,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Комфортне місце для вартових.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Обирайте місце для встановлення з розумом.,
JWK-BuildItem-CommandPost,Command post,Командний пункт,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Доступ до офіцера опору.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Отримайте доступ до офіцера опору на місці.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Магазин спорядження,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Купівля одягу та спорядження.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Надає доступ до уніформ та іншого спорядження опору. Предмети купуються за припаси.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Магазин спорядження,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Купівля одягу та спорядження.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Надає доступ до уніформ та іншого спорядження союзної фракції. Предмети купуються за припаси.,
JWK-BuildItem-FieldFuelStorage,Field fuel storage,Польовий склад пального,
JWK-BuildItem-FieldFuelStorage_Description,Store a large amount of fuel.,Зберігає велику кількість пального.,
JWK-BuildItem-FieldFuelStorage_DescriptionLong,"Stores 3000 litres of fuel, but cannot be used to refuel vehicles.","Зберігає 3000 літрів пального, але не може використовуватися для дозаправки техніки.",
JWK-BuildItem-FieldGarageMedium,Medium Garage,Середній гараж,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,2 транспортних засоби.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",Дозволяє зберігати та повертати до гаража два наземних транспортних засоби.,
JWK-BuildItem-FieldGarageSmall,Small Garage,Малий гараж,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,1 транспортний засіб.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",Дозволяє зберігати та повертати до гаража один наземний транспортний засіб.,
JWK-BuildItem-FiringPosition,Firing position,Вогнева позиція,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Підготуйтеся до небажаних гостей.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Найпростіша оборонна конструкція.,
JWK-BuildItem-FuelPoint,Fuel point,АЗС,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Заправка транспорту.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Дозволяє заправляти наземний транспорт.,
JWK-BuildItem-GuardTower,Guard tower,Спостережна вежа,
JWK-BuildItem-GuardTower_Description,Get a better view.,"Залізь повище, дивись подалі.",
JWK-BuildItem-Helipad,Helipad,Вертолітний майданчик,
JWK-BuildItem-HelipadRepair,Service Helipad,Сервісний вертолітний майданчик,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Ремонт вертольотів.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,"Сервісний вертолітний майданчик дозволяє зберігати, заправляти і ремонтувати один вертоліт. Може будуватися тільки на аеродромах.",
JWK-BuildItem-Helipad_Description,Store single helicopter.,Зберігання одного вертольота.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","Вертолітний майданчик дозволяє призначити один вертоліт, що захищає його від втрати та дає можливість забрати його здалеку. Базова версія без можливостей заправки чи ремонту.",
JWK-BuildItem-LivingArea,Living area,Житлова зона,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Житло для рекрутів.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,Забезпечує житловий простір для кількох потенційних рекрутів.,
JWK-BuildItem-MedicalTent,Medical tent,Медичний намет,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Лікування ран і пришвидшення відновлення.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,Медичний намет поліпшує відновлення після поранень та дозволяє купувати медичні товари за припаси.,
JWK-BuildItem-Mortar,Mortar,Міномет,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Відправка підарунків на велику відстань.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Повна мінометна установка. Снаряди можна купити за припаси.,
JWK-BuildItem-StorageLarge,Large supplies storage,Велике сховище припасів,
JWK-BuildItem-StorageLarge-Description,Store 3000 supplies.,Зберігає 3000 припасів.,
JWK-BuildItem-StorageLarge-DescriptionLong,Allows you to store 3000 supplies.,Дозволяє зберігати 3000 припасів.,
JWK-BuildItem-StorageMedium,Medium supplies storage,Середнє сховище припасів,
JWK-BuildItem-StorageMedium-Description,Store 1500 supplies.,Зберігає 1500 припасів.,
JWK-BuildItem-StorageMedium-DescriptionLong,Allows you to store 1500 supplies.,Дозволяє зберігати 1500 припасів.,
JWK-BuildItem-StorageSmall,Small supplies storage,Малий склад припасів,
JWK-BuildItem-StorageSmall-Description,Store 700 supplies.,Зберігання 700 одиниць припасів.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows you to store 700 supplies. First one can be constructed for free.,Дозволяє зберігати 700 одиниць припасів. Перший склад будується безкоштовно.,
JWK-BuildItem-VehicleDepot,Vehicle Depot,Гараж для техніки,
JWK-BuildItem-VehicleDepot_Description,Procure vehicles.,Отримати техніку.,
JWK-BuildItem-VehicleDepot_DescriptionLong,Allows you to procure vehicles and store 1 vehicle.,Дозволяє отримати техніку та зберігати 1 одиницю техніки.,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Ремонтна естакада,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Ремонт транспорту.,
JWK-BuildItem-VehicleRamp_DescriptionLong,Allows you to repair ground vehicles.,Дозволяє ремонтувати наземні транспортні засоби.,
JWK-BuildUI-Cost,Cost:,Вартість:,
JWK-BuildUI-Title,Build,Будівництво,
JWK-CTA-ConstructionMenu,Construction menu,Меню будівництва,
JWK-CTA-HideoutResupply,Resupply hideout,Поповнити схрон,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,Взяти припаси схрону,
JWK-CTA-ManageVehicles,Manage vehicles,Керування транспортом,
JWK-CTA-OpenMenu,Freedom Fighters,Freedom Fighters,
JWK-CTA-ParkVehicle,Park vehicle,Припаркувати транспорт,
JWK-CTA-Radio,Use radio,Скористатись радіо,
JWK-CTA-TimeToWithstand,Withstand...,Витримати...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Пожертвувати припаси цивільним,
JWK-CharacterMenu,Character Menu,Меню персонажа,
JWK-CharacterUI-Age,Age,Вік,
JWK-CharacterUI-Birthday,Birthday,День народження,
JWK-CharacterUI-Birthplace,Birthplace,Місце народження,
JWK-CharacterUI-BloodType,Blood type,Група крові,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,Розшукується живим чи мертвим.,
JWK-CharacterUI-Title,Profile,Профіль,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,Використовує розшукуваний транспорт.,
JWK-ConsoleUI-BackToMenu,Back to menu,Назад до меню,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.","Через обмеження моддінгу, однокористувацька гра та локальний хостинг недоступні на консолях. Радимо налаштувати приватний виділений сервер або приєднатися до публічного.",
JWK-ConsoleUI-Title,Unavailable on consoles,Недоступно на консолях,
JWK-ConstructUI-Title,Construct,Побудувати,
JWK-ConvoAction-Convert,Convince to support,Завербувати,
JWK-ConvoAction-Extort,Extort money,Вимагати гроші,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,Попросити про зустріч,
