Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Schlüssel abgeben,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Dieses Schloss kann nicht geknackt werden.,
JWK-Action-CleanUp,Clean up,Aufräumen,
JWK-Action-CollectDogtag,Collect dogtag,Dogtag sammeln,
JWK-Action-Disassembly,Disassemble,Zerlegen,
JWK-Action-DismantleCamp,Dismantle camp,Lager zerlegen,
JWK-Action-EditSign,Edit sign,Schild bearbeiten,
JWK-Action-EpinephrineInject,Inject epinephrine,Epinephrin injizieren,
JWK-Action-FollowMe,Ask to follow,Bitten zu folgen,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,Abschließen,
JWK-Action-LockVehicle,Lock vehicle,Fahrzeug abschließen,
JWK-Action-Locked,Locked,Verschlossen,
JWK-Action-ManagePlayerGarage,Manage garage,Garage verwalten,
JWK-Action-PickLock,Pick lock,Schloss knacken,
JWK-Action-PickUp,Pick up,Aufheben,
JWK-Action-PlayerRest,Rest,Ausruhen,
JWK-Action-Recruit,Recruit,Rekrutieren,
JWK-Action-RequiresLockpick,Requires lockpick.,Benötigt Dietrich.,
JWK-Action-Shop,Shop,Geschäft,
JWK-Action-StayHere,Ask to stay,Bitten zu bleiben,
JWK-Action-StopCharacter,Stop,Stopp,
JWK-Action-TakeBus,Take bus,Bus nehmen,
JWK-Action-TakeCommand,Take command,Kommando übernehmen,
JWK-Action-TakeFerry,Take ferry,Fähre nehmen,
JWK-Action-TakeKeys,Take keys,Schlüssel nehmen,
JWK-Action-Talk,Talk,Reden,
JWK-Action-Trade,Trade,Handeln,
JWK-Action-TransferFuel,Transfer fuel,,
JWK-Action-Unlock,Unlock,Entsperren,
JWK-Action-UnlockVehicle,Unlock vehicle,Fahrzeug entriegeln,
JWK-Action-UsePhone,Use phone,Telefon verwenden,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,Andere Bauten müssen erst zerlegt werden.,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Nicht genug Geld.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Befehlsgrenze erreicht.,
