Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,Dogtag를 수집하십시오,
JWK-Action-Disassembly,Disassemble,분해,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,표시를 편집하십시오,
JWK-Action-EpinephrineInject,Inject epinephrine,에피네프린 주사,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,잠그다,
JWK-Action-LockVehicle,Lock vehicle,잠금 차량,
JWK-Action-Locked,Locked,잠겨 있습니다,
JWK-Action-ManagePlayerGarage,Manage garage,차고 관리,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,나머지,
JWK-Action-Recruit,Recruit,모집,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,가게,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,멈추다,
JWK-Action-TakeBus,Take bus,버스를 타십시오,
JWK-Action-TakeCommand,Take command,명령을 받으십시오,
JWK-Action-TakeFerry,Take ferry,페리를 타십시오,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,말하다,
JWK-Action-Trade,Trade,거래,
JWK-Action-TransferFuel,Transfer fuel,,
JWK-Action-Unlock,Unlock,터놓다,
JWK-Action-UnlockVehicle,Unlock vehicle,차량 잠금 해제,
JWK-Action-UsePhone,Use phone,전화를 사용하십시오,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,돈이 충분하지 않습니다.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,명령 한도에 도달했습니다.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,근처의 시체를 깨끗하게하십시오,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,근처 품목을 깨끗하게하십시오,
JWK-AdminUI-ForceSaveGame,Force save game,힘을 저장하십시오,
JWK-AdminUI-OpenSettings,Open settings,열기 설정,
