Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Abandonner les clés,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Cette serrure ne peut pas être crochetée.,
JWK-Action-CleanUp,Clean up,Nettoyer,
JWK-Action-CollectDogtag,Collect dogtag,Collecter la plaque d'identification du soldat,
JWK-Action-Disassembly,Disassemble,Démonter,
JWK-Action-DismantleCamp,Dismantle camp,Démonter le camp,
JWK-Action-EditSign,Edit sign,Modifier le panneau,
JWK-Action-EpinephrineInject,Inject epinephrine,Injecter de l'épinéphrine,
JWK-Action-FollowMe,Ask to follow,Demander de suivre,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,Verrouiller,
JWK-Action-LockVehicle,Lock vehicle,Verrouiller le véhicule,
JWK-Action-Locked,Locked,Verrouillé,
JWK-Action-ManagePlayerGarage,Manage garage,Gérer le garage,
JWK-Action-PickLock,Pick lock,Crocheter la serrure,
JWK-Action-PickUp,Pick up,Récupérer,
JWK-Action-PlayerRest,Rest,Dormir,
JWK-Action-Recruit,Recruit,Recruter,
JWK-Action-RequiresLockpick,Requires lockpick.,Nécessite un kit de crochetage.,
JWK-Action-Shop,Shop,Boutique,
JWK-Action-StayHere,Ask to stay,Demander de rester,
JWK-Action-StopCharacter,Stop,Arrêter,
JWK-Action-TakeBus,Take bus,Prendre le bus,
JWK-Action-TakeCommand,Take command,Prendre le contrôle,
JWK-Action-TakeFerry,Take ferry,Prendre le ferry,
JWK-Action-TakeKeys,Take keys,Prendre les clés,
JWK-Action-Talk,Talk,Parler,
JWK-Action-Trade,Trade,Échanger,
JWK-Action-TransferFuel,Transfer fuel,Transférer le carburant,
JWK-Action-Unlock,Unlock,Déverrouiller,
JWK-Action-UnlockVehicle,Unlock vehicle,Déverrouiller le véhicule,
JWK-Action-UsePhone,Use phone,Utiliser le téléphone,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,D'autres constructions doivent d'abord être démontées.,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Pas assez d'argent.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Limite de commandement atteinte.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Supprimer les corps proches,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Supprimer les éléments proches,
JWK-AdminUI-ForceSaveGame,Force save game,Forcer la sauvegarde du jeu,
JWK-AdminUI-OpenSettings,Open settings,Ouvrir les paramètres,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Réinitialiser la destruction (globale),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Réinitialiser la destruction (à proximité),
JWK-AdminUI-Title,Admin menu,Menu administrateur,
JWK-AdminUI-WipeSaveData,Wipe save data,Effacer les données sauvegardées,
JWK-Arland-Airport,Airport,Aéroport,
JWK-Arland-NewfieldFarm,Newfield Farm,Ferme Newfield,
JWK-BankUI-Amount,Amount,Montant,
JWK-BankUI-MoneyTransfer,Money transfer,Transfert d'argent,
JWK-BankUI-Perform,Perform,Exécuter,
JWK-BankUI-Recipient,Receiver,Destinataire,
JWK-BankUI-YourMoney,Your money,Votre argent,
JWK-BattleFallbackTitle,Battle,Bataille,
JWK-BattlePlayerLosing,Resistance is losing control...,La résistance perd le contrôle...,
JWK-BattleProgress,Battle in progress...,Bataille en cours...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.","Des données de sauvegarde incompatibles avec cette version du mod ont été détectées. Veuillez commencer une nouvelle campagne ou annuler la mise à jour pour continuer à jouer.<br/><br/>Utilisez l'option ""<b>Recommencer</b>"" dans le menu pause ou l'option ""<b>Effacer les données sauvegardées</b>"" dans le menu admin pour redémarrer.",
JWK-BuildItem-ArmoryFOB,Field armory,Armurerie de campagne,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Acheter des armes et des munitions.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Donne accès aux armes et munitions appartenant à la résistance. Les objets s'achètent à l'aide de fournitures.,
JWK-BuildItem-ArmoryMOB,Allied armory,Armurerie alliée,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Acheter des armes et des munitions.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Donne accès aux armes et munitions fournies par la faction alliée. Les objets sont achetés avec des fournitures.,
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Un endroit confortable pour vos sentinelles.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Placez-la dans un endroit propice à l'observation.,
JWK-BuildItem-CommandPost,Command post,Poste de commandement,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Avoir un officier sur place.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Obtenir l'accès à un officier de la résistance présent sur place.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Magasin d'équipement,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Acheter des vêtements et de l'équipement.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Donne accès aux uniformes et autres équipements appartenant à la résistance. L'achat des articles se fait à l'aide de fournitures.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Magasin d'équipement,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Acheter des vêtements et de l'équipement.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Donne accès aux uniformes et autres équipements fournis par la faction alliée. Les articles sont achetés à l'aide de fournitures.,
JWK-BuildItem-FieldFuelStorage,Field fuel storage,Réservoir de carburant de campagne,
JWK-BuildItem-FieldFuelStorage_Description,Store a large amount of fuel.,Permet de stocker une grande quantité de carburant.,
JWK-BuildItem-FieldFuelStorage_DescriptionLong,"Stores 3000 litres of fuel, but cannot be used to refuel vehicles.","Stocke 3000 litres de carburant, mais ne permet pas de ravitailler les véhicules.",
JWK-BuildItem-FieldGarageMedium,Medium Garage,Garage moyen,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Stocke 2 véhicules.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.","Permet d'assigner deux véhicules terrestres, ce qui les protège contre la perte et permet de les récupérer à distance.",
JWK-BuildItem-FieldGarageSmall,Small Garage,Petit garage,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Stocke 1 véhicule.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",Permet d'assigner un seul véhicule terrestre ce qui le protège contre la perte et permet de le récupérer à distance.,
JWK-BuildItem-FiringPosition,Firing position,Position de tir,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Préparez-vous à recevoir des invités indésirables.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Composition de défense simple.,
JWK-BuildItem-FuelPoint,Fuel point,Point de ravitaillement,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Ravitailler les véhicules en carburant.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Permet de ravitailler les véhicules terrestres.,
JWK-BuildItem-GuardTower,Guard tower,Tour de garde,
JWK-BuildItem-GuardTower_Description,Get a better view.,Permet d'obtenir une meilleure vue.,
JWK-BuildItem-Helipad,Helipad,Héliport,
JWK-BuildItem-HelipadRepair,Service Helipad,Héliport de service,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Permet de réparer les hélicoptères.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,L'héliport de service permet d'assigner un seul hélicoptère et permet le ravitaillement et la réparation des hélicoptères. Elle ne peut être construite que dans les bases aériennes.,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Stocke un seul hélicoptère.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","L'héliport permet d'assigner un seul hélicoptère, ce qui le protège contre la perte et permet de le récupérer à distance. Version de base sans possibilité de ravitaillement ni de réparation.",
JWK-BuildItem-LivingArea,Living area,Espace de vie,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Donner un abri aux recrues.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,Fournit un espace de vie pour quelques soldats qui peuvent être recrutés.,
JWK-BuildItem-MedicalTent,Medical tent,Tente médicale,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Guérit les blessures et permet de se rétablir plus rapidement.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,La tente médicale améliore la régénération des blessures et permet d'acheter des produits médicaux en utilisant des fournitures.,
JWK-BuildItem-Mortar,Mortar,Mortier,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Envoyer un message à distance.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Emplacement de mortier complet. Les projectiles peuvent être achetés en utilisant les fournitures.,
JWK-BuildItem-StorageLarge,Large supplies storage,,
JWK-BuildItem-StorageLarge-Description,Store 3000 supplies.,,
JWK-BuildItem-StorageLarge-DescriptionLong,Allows you to store 3000 supplies.,,
JWK-BuildItem-StorageMedium,Medium supplies storage,,
JWK-BuildItem-StorageMedium-Description,Store 1500 supplies.,,
JWK-BuildItem-StorageMedium-DescriptionLong,Allows you to store 1500 supplies.,,
JWK-BuildItem-StorageSmall,Small supplies storage,Stockage de petites fournitures,
JWK-BuildItem-StorageSmall-Description,Store 700 supplies.,Stocke 700 fournitures.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows you to store 700 supplies. First one can be constructed for free.,Permet de stocker 700 fournitures. Le premier peut être construit gratuitement.,
JWK-BuildItem-VehicleDepot,Vehicle Depot,,
JWK-BuildItem-VehicleDepot_Description,Procure vehicles.,,
JWK-BuildItem-VehicleDepot_DescriptionLong,Allows you to procure vehicles and store 1 vehicle.,,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Rampe d'entretien des véhicules,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Réparer les véhicules.,
JWK-BuildItem-VehicleRamp_DescriptionLong,Allows you to repair ground vehicles.,Permet de réparer les véhicules terrestres.,
JWK-BuildUI-Cost,Cost:,Coût:,
JWK-BuildUI-Title,Build,Construire,
JWK-CTA-ConstructionMenu,Construction menu,Menu de construction,
JWK-CTA-HideoutResupply,Resupply hideout,Ravitailler la cachette,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,Prendre des fournitures de la cachette,
JWK-CTA-ManageVehicles,Manage vehicles,Gérer les véhicules,
JWK-CTA-OpenMenu,Freedom Fighters,Freedom Fighters,
JWK-CTA-ParkVehicle,Park vehicle,Stationner le véhicule,
JWK-CTA-Radio,Use radio,Utiliser la radio,
JWK-CTA-TimeToWithstand,Withstand...,Tenir...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Donner des fournitures aux civils,
