Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,,
JWK-Action-CleanUp,Clean up,,
JWK-Action-CollectDogtag,Collect dogtag,,
JWK-Action-Disassembly,Disassemble,,
JWK-Action-DismantleCamp,Dismantle camp,,
JWK-Action-EditSign,Edit sign,,
JWK-Action-EpinephrineInject,Inject epinephrine,,
JWK-Action-FollowMe,Ask to follow,,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,,
JWK-Action-LockVehicle,Lock vehicle,,
JWK-Action-Locked,Locked,,
JWK-Action-ManagePlayerGarage,Manage garage,,
JWK-Action-PickLock,Pick lock,,
JWK-Action-PickUp,Pick up,,
JWK-Action-PlayerRest,Rest,,
JWK-Action-Recruit,Recruit,,
JWK-Action-RequiresLockpick,Requires lockpick.,,
JWK-Action-Shop,Shop,,
JWK-Action-StayHere,Ask to stay,,
JWK-Action-StopCharacter,Stop,,
JWK-Action-TakeBus,Take bus,,
JWK-Action-TakeCommand,Take command,,
JWK-Action-TakeFerry,Take ferry,,
JWK-Action-TakeKeys,Take keys,,
JWK-Action-Talk,Talk,,
JWK-Action-Trade,Trade,,
JWK-Action-TransferFuel,Transfer fuel,,
JWK-Action-Unlock,Unlock,,
JWK-Action-UnlockVehicle,Unlock vehicle,,
JWK-Action-UsePhone,Use phone,,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,,
JWK-ActionReason-NotEnoughMoney,Not enough money.,,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,,
JWK-AdminUI-ForceSaveGame,Force save game,,
JWK-AdminUI-OpenSettings,Open settings,,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),,
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),,
JWK-AdminUI-Title,Admin menu,,
JWK-AdminUI-WipeSaveData,Wipe save data,,
JWK-Arland-Airport,Airport,,
JWK-Arland-NewfieldFarm,Newfield Farm,,
JWK-BankUI-Amount,Amount,,
