Id,Source,Translation,Comment
JWK-Action-AbandonKeys,Abandon keys,Abandonar as chaves,
JWK-Action-CannotBeLockpicked,This lock cannot be picked.,Esta fechadura não pode ser aberta com gazua.,
JWK-Action-CleanUp,Clean up,Limpar,
JWK-Action-CollectDogtag,Collect dogtag,Pegar dogtag,
JWK-Action-Disassembly,Disassemble,Desmontar,
JWK-Action-DismantleCamp,Dismantle camp,Desmontar acampamento,
JWK-Action-EditSign,Edit sign,Editar placa,
JWK-Action-EpinephrineInject,Inject epinephrine,Injetar epinefrina,
JWK-Action-FollowMe,Ask to follow,Pedir para me seguir,
JWK-Action-GetInWanted,Get in (wanted),,
JWK-Action-GetInWantedSuffix,(wanted),,
JWK-Action-ImportResources,Import resources,,
JWK-Action-ImportVehicles,Import vehicles,,
JWK-Action-Lock,Lock,Trancar,
JWK-Action-LockVehicle,Lock vehicle,Trancar veículo,
JWK-Action-Locked,Locked,Trancado,
JWK-Action-ManagePlayerGarage,Manage garage,Gerenciar garagem,
JWK-Action-PickLock,Pick lock,Arrombar fechadura,
JWK-Action-PickUp,Pick up,Pegar,
JWK-Action-PlayerRest,Rest,Descansar,
JWK-Action-Recruit,Recruit,Recrutar,
JWK-Action-RequiresLockpick,Requires lockpick.,Requer ganzua.,
JWK-Action-Shop,Shop,Loja,
JWK-Action-StayHere,Ask to stay,Pedir para ficar,
JWK-Action-StopCharacter,Stop,Parar,
JWK-Action-TakeBus,Take bus,Pegar ônibus,
JWK-Action-TakeCommand,Take command,Assumir comando,
JWK-Action-TakeFerry,Take ferry,Pegar balsa,
JWK-Action-TakeKeys,Take keys,Pegar as chaves,
JWK-Action-Talk,Talk,Conversar,
JWK-Action-Trade,Trade,Trocar,
JWK-Action-TransferFuel,Transfer fuel,Transferir combustível,
JWK-Action-Unlock,Unlock,Destrancar,
JWK-Action-UnlockVehicle,Unlock vehicle,Destrancar veículo,
JWK-Action-UsePhone,Use phone,Usar telefone,
JWK-ActionReason-DisassemblyAreaNotEmpty,Other constructions need to be disassembled first.,Outras construções precisam ser desmontadas primeiro.,
JWK-ActionReason-NotEnoughMoney,Not enough money.,Dinheiro insuficiente.,
JWK-ActionReason-SubordinatesLimit,Commanding limit reached.,Limite de comando atingido.,
JWK-AdminUI-ClearNearbyBodies,Clear nearby bodies,Limpar os corpos próximos,
JWK-AdminUI-ClearNearbyItems,Clear nearby items,Limpar os itens próximos,
JWK-AdminUI-ForceSaveGame,Force save game,Forçar salvar jogo,
JWK-AdminUI-OpenSettings,Open settings,Abrir configurações,
JWK-AdminUI-ResetGlobalDestruction,Reset destruction (global),Redefinir destruição (global),
JWK-AdminUI-ResetNearbyDestruction,Reset destruction (nearby),Redefinir destruição (nas proximidades),
JWK-AdminUI-Title,Admin menu,Menu do administrador,
JWK-AdminUI-WipeSaveData,Wipe save data,Apagar dados salvos,
JWK-Arland-Airport,Airport,Aeroporto,
JWK-Arland-NewfieldFarm,Newfield Farm,Fazenda Newfield,
JWK-BankUI-Amount,Amount,Quantia,
JWK-BankUI-MoneyTransfer,Money transfer,Transferência de dinheiro,
JWK-BankUI-Perform,Perform,Executar,
JWK-BankUI-Recipient,Receiver,Destinatário,
JWK-BankUI-YourMoney,Your money,Seu dinheiro,
JWK-BattleFallbackTitle,Battle,Batalha,
JWK-BattlePlayerLosing,Resistance is losing control...,A resistência está perdendo o controle...,
JWK-BattleProgress,Battle in progress...,Batalha em andamento...,
JWK-BrokenSave-Text,"Save game data incompatible with this version of the mod has been detected. Please start a new campaign or revert the update to continue playing.<br/><br/>Use the ""<b>Restart</b>"" option in the pause menu or the ""<b>Wipe save data</b>"" in the admin menu to restart.","Foi detectado um save incompatível com esta versão do mod. Por favor, inicie uma nova campanha ou reverta a atualização para continuar jogando.<br/><br/>Use a opção ""<b>Reiniciar</b>"" no menu de pausa ou ""<b>Limpar dados salvos</b>"" no menu de administrador para reiniciar.",
JWK-BuildItem-ArmoryFOB,Field armory,Arsenal de campo,
JWK-BuildItem-ArmoryFOB_Description,Buy weapons and ammunition.,Comprar armas e munição.,
JWK-BuildItem-ArmoryFOB_DescriptionLong,Gives access to weapons and ammunitions belonging to the resistance. Items are purchased using supplies.,Dá acesso a armas e munições pertencentes à resistência. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-ArmoryMOB,Allied armory,Arsenal Aliado,
JWK-BuildItem-ArmoryMOB-Description,Buy weapons and ammunition.,Comprar armas e munição.,
JWK-BuildItem-ArmoryMOB-DescriptionLong,Gives access to weapons and ammunitions provided by the allied faction. Items are purchased using supplies.,Dá acesso a armas e munições fornecidas pela facção aliada. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-Bunker,Bunker,Bunker,
JWK-BuildItem-Bunker_Description,Cozy place for your sentries.,Lugar aconchegante para suas sentinelas.,
JWK-BuildItem-Bunker_DescriptionLong,Place it in a good observation spot.,Coloque-o em um bom ponto de observação.,
JWK-BuildItem-CommandPost,Command post,Posto de Comando,
JWK-BuildItem-CommandPost_Description,Have an officer on site.,Tenha um oficial presente no local.,
JWK-BuildItem-CommandPost_DescriptionLong,Gain access to a resistance officer being present on site.,Permite a presença de um oficial da resistência no local.,
JWK-BuildItem-EquipmentStoreFOB,Equipment store,Loja de equipamentos,
JWK-BuildItem-EquipmentStoreFOB_Description,Buy clothing and equipment.,Comprar roupas e equipamentos.,
JWK-BuildItem-EquipmentStoreFOB_DescriptionLong,Gives access to uniforms and other equipment belonging to the resistance. Items are purchased using supplies.,Dá acesso a uniformes e outros equipamentos pertencentes à resistência. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-EquipmentStoreMOB,Equipment store,Loja de equipamentos,
JWK-BuildItem-EquipmentStoreMOB_Description,Buy clothing and equipment.,Comprar roupas e equipamentos.,
JWK-BuildItem-EquipmentStoreMOB_DescriptionLong,Gives access to uniforms and other equipment provided by the allied faction. Items are purchased using supplies.,Dá acesso a uniformes e outros equipamentos fornecidos pela à facção aliada. Itens são adquiridos usando suprimentos.,
JWK-BuildItem-FieldFuelStorage,Field fuel storage,Campo de armazenamento de combustível,
JWK-BuildItem-FieldFuelStorage_Description,Store a large amount of fuel.,Armazena uma grande quantidade de combustível.,
JWK-BuildItem-FieldFuelStorage_DescriptionLong,"Stores 3000 litres of fuel, but cannot be used to refuel vehicles.","Armazena 3000 litros de combustível, mas não pode ser usado para reabastecer veículos.",
JWK-BuildItem-FieldGarageMedium,Medium Garage,Garagem média,
JWK-BuildItem-FieldGarageMedium_Description,Store 2 vehicles.,Armazena 2 veículos.,
JWK-BuildItem-FieldGarageMedium_DescriptionLong,"Allows assigning two ground vehicles to prevent them from being lost, and enables retrieving them from far away.",Permite atribuir dois veículos terrestres para evitar que sejam perdidos e possibilita recuperá-los de longe.,
JWK-BuildItem-FieldGarageSmall,Small Garage,Garagem Pequena,
JWK-BuildItem-FieldGarageSmall_Description,Store 1 vehicle.,Armazena 1 veículo.,
JWK-BuildItem-FieldGarageSmall_DescriptionLong,"Allows assigning a single ground vehicle to prevent it from being lost, and enables retrieving it from far away.",Permite atribuir um veículo terrestre para evitar que seja perdido e possibilita recuperá-lo de longe.,
JWK-BuildItem-FiringPosition,Firing position,Posição de Tiro,
JWK-BuildItem-FiringPosition_Description,Prepare for unwanted guests.,Prepare-se para os visitantes indesejados.,
JWK-BuildItem-FiringPosition_DescriptionLong,Basic defence composition.,Composição básica de defesa.,
JWK-BuildItem-FuelPoint,Fuel point,Ponto de Abastecimento,
JWK-BuildItem-FuelPoint_Description,Refuel vehicles.,Abasteça veículos.,
JWK-BuildItem-FuelPoint_DescriptionLong,Allows to refuel ground vehicles.,Permite abastecer veículos terrestres.,
JWK-BuildItem-GuardTower,Guard tower,Torre de Proteção,
JWK-BuildItem-GuardTower_Description,Get a better view.,Obtenha uma vista melhor.,
JWK-BuildItem-Helipad,Helipad,Heliponto,
JWK-BuildItem-HelipadRepair,Service Helipad,Heliponto de Serviço,
JWK-BuildItem-HelipadRepair_Description,Repair helicopters.,Reparar helicópteros.,
JWK-BuildItem-HelipadRepair_DescriptionLong,Service helipad allows to assign a single helicopter and enables helicopter refueling and repairing. Can be constructed only in airbases.,O heliponto de serviço permite atribuir um único helicóptero e possibilita abastecimento e reparo. Só pode ser construído em bases aéreas.,
JWK-BuildItem-Helipad_Description,Store single helicopter.,Armazena um helicóptero.,
JWK-BuildItem-Helipad_DescriptionLong,"Helipad allows to assign a single helicopter, which protects it from being lost and enables retrieving it from far away. Basic version without refueling or repairing abilities.","O heliponto permite atribuir um único helicóptero, protegendo-o de ser perdido e possibilitando recuperá-lo de longe. Versão básica sem habilidades de reabastecimento ou reparo.",
JWK-BuildItem-LivingArea,Living area,Área de Convivência,
JWK-BuildItem-LivingArea_Description,Shelter recruits.,Abriga recrutas.,
JWK-BuildItem-LivingArea_DescriptionLong,Provides living space for a few soldiers that can be recruited.,Fornece espaço de convivência para alguns soldados que podem ser recrutados.,
JWK-BuildItem-MedicalTent,Medical tent,Tenda Médica,
JWK-BuildItem-MedicalTent_Description,Heal wounds and recover faster.,Cure ferimentos e recupere-se mais rápido.,
JWK-BuildItem-MedicalTent_DescriptionLong,Medical tent improves injury regeneration and allows to purchase medical goods using supplies.,A tenda médica melhora a regeneração de ferimentos e permite comprar itens médicos usando suprimentos.,
JWK-BuildItem-Mortar,Mortar,Morteiro,
JWK-BuildItem-Mortar_Description,Send a message over long distance.,Envia uma mensagem a longa distância.,
JWK-BuildItem-Mortar_DescriptionLong,Complete mortar emplacement. Projectiles can be purchased using supplies.,Posição de morteiro completa. Projéteis podem ser adquiridos usando suprimentos.,
JWK-BuildItem-StorageLarge,Large supplies storage,,
JWK-BuildItem-StorageLarge-Description,Store 3000 supplies.,,
JWK-BuildItem-StorageLarge-DescriptionLong,Allows you to store 3000 supplies.,,
JWK-BuildItem-StorageMedium,Medium supplies storage,,
JWK-BuildItem-StorageMedium-Description,Store 1500 supplies.,,
JWK-BuildItem-StorageMedium-DescriptionLong,Allows you to store 1500 supplies.,,
JWK-BuildItem-StorageSmall,Small supplies storage,Armazém Pequeno de Suprimentos,
JWK-BuildItem-StorageSmall-Description,Store 700 supplies.,Armazena 700 suprimentos.,
JWK-BuildItem-StorageSmall-DescriptionLong,Allows you to store 700 supplies. First one can be constructed for free.,Permite armazenar 700 suprimentos. O primeiro pode ser construído gratuitamente.,
JWK-BuildItem-VehicleDepot,Vehicle Depot,,
JWK-BuildItem-VehicleDepot_Description,Procure vehicles.,,
JWK-BuildItem-VehicleDepot_DescriptionLong,Allows you to procure vehicles and store 1 vehicle.,,
JWK-BuildItem-VehicleRamp,Vehicle maintenance ramp,Rampa de Manutenção de Veículos,
JWK-BuildItem-VehicleRamp_Description,Repair vehicles.,Reparar veículos.,
JWK-BuildItem-VehicleRamp_DescriptionLong,Allows you to repair ground vehicles.,Permite reparar veículos terrestres.,
JWK-BuildUI-Cost,Cost:,Custo:,
JWK-BuildUI-Title,Build,Construir,
JWK-CTA-ConstructionMenu,Construction menu,Menu de Construção,
JWK-CTA-HideoutResupply,Resupply hideout,Reabastecer o esconderijo,
JWK-CTA-HideoutTakeSupplies,Take hideout supplies,Pegar suprimentos do esconderijo,
JWK-CTA-ManageVehicles,Manage vehicles,Gerenciar Veículos,
JWK-CTA-OpenMenu,Freedom Fighters,Freedom Fighters,
JWK-CTA-ParkVehicle,Park vehicle,Estacionar o veículo,
JWK-CTA-Radio,Use radio,Usar o rádio,
JWK-CTA-TimeToWithstand,Withstand...,Resistir em...,
JWK-CTA-TownDonateSupplies,Donate supplies to civilians,Doar Suprimentos aos Civis,
JWK-CharacterMenu,Character Menu,Menu de Personagem,
JWK-CharacterUI-Age,Age,Idade,
JWK-CharacterUI-Birthday,Birthday,Aniversário,
JWK-CharacterUI-Birthplace,Birthplace,Local de nascimento,
JWK-CharacterUI-BloodType,Blood type,Tipo sanguíneo,
JWK-CharacterUI-CharacterWanted,Wanted dead or alive.,Procurado vivo ou morto.,
JWK-CharacterUI-Title,Profile,Perfil,
JWK-CharacterUI-VehicleWanted,Uses a wanted vehicle.,Usa um veículo procurado.,
JWK-ConsoleUI-BackToMenu,Back to menu,Voltar ao menu,
JWK-ConsoleUI-Text,"Due to missing modding features, the single player and local hosting experience is unavailable on console systems. We suggest setting up a private dedicated server or joining a public one.","Devido à ausência de recursos de modding, a experiência single player e hospedagem local não está disponível em consoles. Sugerimos criar um servidor dedicado privado ou entrar em um servidor público.",
JWK-ConsoleUI-Title,Unavailable on consoles,Indisponível nos consoles,
JWK-ConstructUI-Title,Construct,Construir,
JWK-ConvoAction-Convert,Convince to support,Convencer a apoiar,
JWK-ConvoAction-Extort,Extort money,Extorquir dinheiro,
JWK-ConvoChoice-AskHideoutLocation,Ask for a meeting,Pedir uma reunião,
JWK-ConvoChoice-AskJob,Ask for a job,Pedir um trabalho,
JWK-ConvoChoice-Confirm,Confirm,Confirmar,
JWK-ConvoChoice-FollowMe,Ask to follow,Pedir para seguir,
JWK-ConvoChoice-GetPoster,Ask for posters,Pedir cartazes,
JWK-ConvoChoice-Liberate,Liberate,Libertar,
JWK-ConvoChoice-ReportBack,Report back,Reportar de volta,
JWK-ConvoChoice-ReportResistance,Report resistance activity,Reportar atividade da resistência,
JWK-ConvoChoice-RequestReinforcements,Reinforcements,Reforços,
JWK-ConvoChoice-RequestSupport,Request support,Solicitar apoio,
JWK-ConvoChoice-ResignJob,Resign from a job,Renunciar ao trabalho,
JWK-ConvoChoice-StopFollowing,Ask to stay,Pedir para ficar,
JWK-ConvoChoice-Trade,Trade,Trocar,
JWK-ConvoChoice-TurnDogtags,Turn in dogtags,Entregar dogtags,
JWK-DialogUI-AddonConflictWarning-Message,Detected following addons that are known to conflict with Freedom Fighters.,,
JWK-DialogUI-AddonConflictWarning-MessageClient,Unexpected gameplay bugs can occur while playing on this server.,,
JWK-DialogUI-AddonConflictWarning-MessageOwner,Consider unloading them to ensure a bug-free experience.,,
